Transportation Service Provider Name:,,,,ANR Pipeline Company,,,,,,,,,,,,,,,
Transportation Service Provider:,,,,6958581,,,,,,,,,,,,,,,
Transporation Service Provider FERC CID:,,,,C000623,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location Name,Loc,Loc St Abbrev,Loc Cnty,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn Loc Name,Up/Dn Loc,Up/Dn FERC CID IND,Up/Dn FERC CID,Update Date/Time
JOLIET WEST/HORIZON,322986,IL,Will,Zone 7,INT,B,A,5/1/02,,,Y,Horizon P/L Co LLC,540617122,,ANR,39848,Y,C000226,20020417 15:20
JOLIET WEST/NGPL,40419,IL,Will,Zone 7,INT,D,A,1/1/83,,,Y,NGPL,6931794,,ANR/NGPL South Joliet #1 Will,906104,Y,C002096,20020417 15:20
JOY,3970,IL,Mercer,Zone 6,LDC,B,A,1/1/83,,,N,Ameren Illinois Company,6936017,,,,N,,20170607 12:39
JUNCTION CITY,28793,WI,Portage,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20181211 10:03
KALKASKA (MICHCON),153803,MI,Kalkaska,Zone 7,LDC,B,A,11/10/95,,,Y,DTE Gas Company,6959540,,Kalkaska-ANR-DEL,9481,N,,20180918 12:33
KAUKAUNA,387791,WI,Outagamie,Zone 7,LDC,B,A,4/5/05,,,N,WPSC-GEN DBA,361300655,,,,N,,20161121 15:21
KEGONSA INTERCONNECT,284917,WI,Dane,Zone 7,LDC,B,A,10/28/00,,,N,Wisconsin Power & Lght,7946452,,,,N,,20180828 09:34
KEITHSBURG,3968,IL,Mercer,Zone 6,LDC,B,A,1/1/83,,,N,Ameren Illinois Company,6936017,,,,N,,20170607 12:39
KELT RANCH DELIVERY,1388911,TX,Wheeler,Zone 4,LDC,D,A,1/15/14,,,N,Apache Corp,6961551,,,,N,,20150420 11:21
KELTON GAS PLANT (URC),187493,TX,Wheeler,Zone 4,LDC,B,A,3/31/96,,,N,Kelton Gas SVCS LP,540802756,,,,N,,20041019 08:06
KENOSHA INT,174788,WI,Kenosha,Zone 7,LDC,B,A,7/11/94,,,N,Wisconsin Electric Power,7947385,,,,N,,20180927 13:10
KEOKUK,4741,IA,Lee,Zone 6,LDC,B,A,1/1/83,,,N,Liberty Utilities,78314967,,,,N,,20170607 12:39
KIMBALL 27 STR-D/OFFSYS,299793,MI,St Clair,-,STR,D,A,7/25/01,,,N,Bluewater Gas Storage,146848804,,,,Y,C001154,20070314 17:29
KIMBALL 27 STR-DEL/ONSYS,321523,MI,St Clair,Zone 7,STR,D,A,1/8/02,,,Y,Bluewater Gas Storage,146848804,,,,Y,C001154,20020602 20:55
KIMBALL 27 STR-R/OFFSYS,307110,MI,St Clair,-,STR,R,A,9/13/01,,,Y,Bluewater Gas Storage,146848804,,Kimball,307110,Y,C001154,20070314 17:28
KIMBALL 27 STR-REC/ONSYS,318732,MI,St Clair,Zone 7,STR,R,A,1/8/02,,,Y,Bluewater Gas Storage,146848804,,,,Y,C001154,20020108 14:49
KINGS BAYOU NO 2,150708,LA,Cameron,Zone 1,WHD,R,A,4/1/89,,,N,Pioneer Exploration,113267702,,,,N,,20101130 06:27
KEOKUK - Roquette,1402365,IA,Lee,Zone 6,END,B,A,11/1/15,,,N,Liberty Utilities,78314967,,,,N,,20151124 08:00
KIRKSVILLE,4602,IA,Davis,Zone 6,LDC,B,A,1/1/83,,,N,Liberty Utilities,78314967,,,,N,,20140131 13:31
KIZER CREEK,513106,OK,Woodward,Zone 4,INT,R,A,4/19/18,,,N,"Redcliff Midstream, LLC",997012714,,,,N,,20180420 09:54
LAGRANGE,4372,IN,Lagrange,Zone 7,LDC,B,A,1/1/83,,,N,NIPSCO,6937585,,,,N,,20070317 17:29
LAKE ARTHUR (DEL TO NGPL,174629,LA,Cameron,Zone 1,INT,D,A,9/21/94,,,Y,NGPL,6931794,,ANR/NGPL Lake Arthur R/U Cameron,6010,Y,C002096,20070314 17:29
LAKE ARTHUR (REC FR NGPL,7694,LA,Cameron,Zone 1,INT,B,A,1/1/83,,,Y,NGPL,6931794,,ANR/NGPL Lake Arthur R/U Cameron,6010,Y,C002096,20070314 17:28
LAKE GENEVA,40226,WI,Walworth,Zone 7,LDC,B,A,1/1/84,,,N,Wisconsin Electric Power,7947385,,,,N,,20181114 14:58
LAKE NOKOMIS INT,171758,WI,Lincoln,Zone 7,LDC,D,A,8/15/95,,,N,Wisconsin Public Service Co,7947435,,,,N,,12/11/18/10:03
LAMONI,4605,IA,Decatur,Zone 6,LDC,B,A,1/1/83,,,N,Lamoni Mun Utilities,189690795,,,,N,,07/09/15/11:38
LAND O LAKES INT,234898,OK,Beaver,Zone 4,END,D,A,1/15/98,,,N,Land O Lakes Inc,6253835,,,,N,,05/02/05/09:16
LAONA,28704,WI,Forest,Zone 7,LDC,B,A,8/24/94,,,N,Wisconsin Public Service Co,7947435,,,,N,,05/08/15/12:57
LAVERNE CITYGATE INT,174769,OK,Harper,Zone 4,LDC,D,A,12/14/94,,,N,Oklahoma Natural Gas Co,7907827,,,,N,,04/28/05/08:16
LAVERNE LATERAL,501169,OK,Harper,Zone 4,INT,D,A,10/21/16,,,N,ANR Pipeline Company,6958581,,,,N,,12/14/16/11:37
LAWRENCE,398767,IN,Lawrence,Zone 3,LDC,D,A,11/14/04,,,N,Hoosier Energy Rural,62802574,,,,N,,01/11/19/15:03
LEASE EMERSON VIA CFALLS,505665,WI,Iron,Zone 7,INT,B,A,11/29/22,,,Y,ANR Pipeline Company,6958581,,,,Y,C000623,20241111 13:00
LEASE EMERSON VIA WILLOW,505666,MI,Washtenaw,Zone 7,INT,B,A,11/29/22,,,Y,ANR Pipeline Company,6958581,,,,Y,C000623,20241111 13:00
LEBANON - TEXAS EASTERN,28447,OH,Warren,Zone 3,INT,B,A,2/1/90,,,Y,Texas Eastern Transmission,7932908,,ANR/TETCO (Lebanon Lateral - ANR Capacity),79941,Y,C000094,20061206 09:00
LEBANON -FARMERSVILLE,505619,OH,Montgomery,Zone 3,LDC,R,A,10/31/18,,,N,Dayton Power & Light,7902430,,,,N,,20181116 15:26
LEBANON HUB-ANR GK,261345,OH,Darke,Zone 3,PPT,B,A,7/1/99,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20061206 09:00
LEBANON/A K STEEL,261713,OH,Warren,Zone 3,END,B,A,7/1/99,,,N,AK Steel Corporation,606072130,,,,N,,20160408 09:02
LEBANON/CASTINE,153781,OH,Darke,Zone 3,LDC,B,A,7/1/90,,,N,Dayton Power & Light,7902430,,,,N,,20020514 21:37
LEBANON/COLGA INT,38843,OH,Warren,Zone 3,INT,B,A,2/1/90,,,Y,Columbia Gas Transmission,54748041,,ANR-Lebanon-6,F2,Y,C000306,20061206 09:10
LEBANON/DERBY - VECTREN,295956,OH,Montgomery,Zone 3,LDC,B,A,6/1/01,,,N,Vectren Energy Delivery,4866344,,,,N,  ,20160408 09:03
LEBANON/DOMINION DEL,21906,OH,Warren,Zone 3,INT,D,I,2/1/90,,20190301,N,Dominion Trans Inc.,116025180,,ANR - Lebanon,28202,Y,C000160,20140407 09:49
LEBANON/DOMINION RECEIPT,1387755,OH,Warren,Zone 3,INT,B,A,1/1/14,,,N,Dominion Trans Inc.,116025180,,ANR - Lebanon,28202,Y,C000160,20140403 10:17
LEBANON/FARMERSVILLE,124974,OH,Montgomery,Zone 3,LDC,R,I,7/1/90,,20190226,N,Dayton Power & Light,7902430,,,,N,,20181116 15:26
LEBANON/GLEN KARN REC,1389630,OH,Darke,Zone 3,INT,R,A,4/1/14,,,Y,Texas Eastern Transmission,7932908,,"ANR Del - Glen Karn, OH",76903,Y,C000094,20160408 09:02
LEBANON/GLEN KARN-TETCO,174721,OH,Darke,Zone 3,INT,D,A,8/9/90,,,Y,Texas Eastern Transmission,7932908,,"ANR, Rec - Glen Karn, OH",72903,Y,C000094,20140407 09:48
LEBANON/RED LION,108796,OH,Warren,Zone 3,LDC,B,A,7/1/90,,,N,Vectren Energy Delivery,4866344,,,,N,,20160408 09:03
LEBANON/SPRINGBORO INT,22986,OH,Warren,Zone 3,LDC,B,A,8/1/90,,,N,Cincinnati G & E,6999189,,,,N,,20160408 09:04
LEBANON/TAIT-TETCO,295957,OH,Montgomery,Zone 3,LDC,B,A,6/1/01,,,N,DPL Energy Inc,540617005,,,,N,,20070402 08:11
LECOMPTE INTERCONNECT,693715,LA,Acadia,Zone 2,INT,B,A,7/9/07,,,N,Enlink LIG,41220351,,,,N,,20081223 10:02
LENA,28770,WI,Oconto,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20180601 10:15
LEON,4607,IA,Decatur,Zone 6,LDC,D,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20140131 13:38
LIDDIEVILLE,467676,LA,Franklin,Zone 2,INT,B,A,12/29/05,,,Y,Regency Intrastate Gas LP,133237508,,ANR Pipeline Company (30 Del) - Liddieville,14673,Y,C000370,20090608 07:52
LIDDIEVILLE 42,924935,LA,Franklin,Zone 2,GTH,R,A,1/26/10,,,Y,Regency Intrastate Gas LP,133237508,,ANR Pipeline company (42 Del) - Liddieville,14756,Y,C000370,20100126 13:42
LINCOLN BOYS SCHOOL,28733,WI,Lincoln,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20181211 10:16
LINEVILLE,4856,IA,Wayne,Zone 6,LDC,B,A,1/1/83,,,N,Lineville City of (IA),4896551,,,,N,,20150709 11:39
LITCHFIELD,216338,MI,Hillsdale,Zone 7,LDC,D,A,8/24/94,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20170616 12:30
LITTLE CHUTE,28778,WI,Outagamie,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20160408 08:47
LOCKRIDGE,4707,IA,Jefferson,Zone 6,LDC,B,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:39
LOREED-LUDINGTON,43704,MI,Osceola,Zone 7,LDC,B,A,4/1/13,,,N,DTE Gas Company,6958540,,,,N,,20190501 07:46
LOWE 1-27 (OSCEOLA MI),40476,MI,Osceola,Zone 7,WHD,R,I,11/25/08,,20170901,N,Dart Oil & Gas Corp,24129611,,,,N,,20170920 10:59
LOWRY PLANT INLET,28554,LA,Cameron,Zone 1,PLT,D,A,7/9/04,,,N,Targa Midstream Svcs,9474847,,,,N,,20070314 17:28
LOWRY PLANT OUTLET,38278,LA,Cameron,Zone 1,PLT,B,A,7/9/04,,,N,Targa Midstream Svcs,9474847,,,,N,,20070315 17:28
LOWRY PLANT PVR,325427,LA,Cameron,Zone 1,PLT,B,I,6/1/90,,20020501,N,Targa Midstream Svcs,9474847,,,,N,,20020417 15:20
LYNN/WINCHESTER,138745,IN,Randolph,Zone 3,LDC,B,A,2/1/92,,,N,Ohio Valley Gas Corp,6940274,,,,N,,20160408 09:04
LYONS,15760,OH,Fulton,Zone 7,LDC,B,A,1/1/83,,,N,Ohio Gas Company,3779345,,,,N,,20160414 14:01
MADISON,36867,WI,Dane,Zone 7,LDC,B,A,1/1/83,,,N,Madison Gas & Electric,7946346,,,,N,,20190115 11:45
MADISON GAS-GRP 1,139253,WI,,Zone 7,LDC,B,A,6/1/92,,,N,Madison Gas & Electric,7946346,,,,N,,20010502 21:15
MAITLAND,13001,MO,Holt,Zone 5,LDC,B,A,1/1/83,,,N,Empire District Gas,625371880,,,,N,,20150709 11:39
MAITLAND IPLS,10150101,MO,Holt,Zone 5,VIR,B,A,2/26/99,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,20250113 15:00
MANAWA,28856,WI,Waupaca,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20150508 12:52
MANISTEE INT (DELIVERY),174650,MI,Otsego,-,STR,D,A,11/2/10,,,Y,ANR Storage Company,92454453,,,,Y,C000624,20190115 16:49
MANITOWOC,28736,WI,Manitowoc,Zone 7,LDC,B,A,1/1/93,,,N,Wisconsin Public Service Co,7947435,,,,N,,20180814 14:12
MARIETTA,40456,IN,Shelby,Zone 3,LDC,B,A,1/1/83,,,N,Fountaintown Gas,75980516,,,,N,,20181218 09:06
MARINETTE,28761,WI,Marinette,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20180601 10:10
MARION,28853,WI,Waupaca,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20150518 12:52
MARSHFIELD WI,28875,WI,Wood,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20181211 10:03
MARSHFIELD/VIKING INT,28873,WI,Wood,Zone 7,INT,B,A,1/1/83,,,Y,Viking Gas Transmission,609166673,,ANR Marshfield,28872,Y,C000581,20161219 07:53
MARYVILLE,13135,MO,Nodaway,Zone 6,LDC,B,A,1/1/83,,,N,Empire District Gas,625371880,,,,N,,20171101 10:05
MAUMEE EAST/COL GAS OHIO,140834,OH,Lucas,Zone 7,LDC,B,A,1/1/90,,,N,Columbia-Ohio,4773586,,,,N,,20100120 14:40
MAUMEE NORTH/EAST OHIO,108641,OH,Lucas,Zone 7,LDC,B,A,11/1/91,,,N,East Ohio Gas Co,7900475,,,,N,,20100120 14:41
MAUMEE SOUTH/EAST OHIO,104776,OH,Lucas,Zone 7,LDC,B,A,3/1/88,,,N,East Ohio Gas Co,7900475,,,,N,,20100520 09:05
MCFARLAND,28676,WI,Dane,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20180828 09:34
MECOSTA,463539,MI,Mecosta,Zone 7,WHD,R,I,10/21/05,,20180911,N,Cimarex Energy Co,120809749,,,,N,,20180912 11:13
MEDIAPOLIS,4617,IA,Des Moines,Zone 6,LDC,B,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:39
MEEME,174789,WI,Manitowoc,Zone 7,LDC,D,A,9/30/94,,,N,Wisconsin Public Service Co,7947435,,,,N,,20180814 14:12
MENASHA INTERCONNECT,269472,WI,Winnebago,Zone 7,LDC,B,A,3/6/03,,,N,Wisconsin Power & Lght,7946452,,,,N,,20181217 11:32
MENDOTA DELIVERY INT,1389432,TX,Roberts,Zone 4,LDC,D,A,6/1/14,,,N,Enbridge P/L (TX Gath),32358744,,,,N,,20140716 08:39
MENOMINEE,11702,MI,Menominee,Zone 7,INT,B,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20180601 10:15
MENOMINEE FALLS,28834,WI,Washington,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20170206 09:10
MENOMINEE NO 2,11703,MI,Menominee,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20180601 10:15
MENTZER RD,513137,OH,Van Wert,Zone 3,RNG,R,A,11/20/23,,,N,Emerald Strategic,990000072,,,,N,,20240726 17:16
MERMENTAU RIVER GCX,523094,LA`,Cameron,Zone 1,INT,B,A,4/1/21,,,N,Transcameron,117434948,,ANR,,N,,20210413 14:00
MERRILL,28732,WI,Lincoln,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20181211 10:03
MGUC - GRP 1,139250,MI,,Zone 7,LDC,B,A,6/1/92,,,N,Michigan Gas Utilities,622377096,,,,N,,20030225 14:03
MGUC - GRP 2,139371,MI,,Zone 7,LDC,B,A,6/1/92,,,N,Michigan Gas Utilities,622377096,,,,N,,20030225 14:05
MGUC - GRP 3,139384,MI,,Zone 7,LDC,B,A,6/1/92,,,N,Michigan Gas Utilities,622377096,,,,N,,19970703 09:49
MGUC - GRP 4,139393,MI,,Zone 7,LDC,B,A,6/1/92,,,N,Michigan Gas Utilities,622377096,,,,N,,20020913 07:18
MIAMI NO D-1/ARCO,40674,LA,Cameron,Zone 1,GTH,R,I,12/23/08,,20181010,N,"Energyquest II, LLC",540804118,,,,N,,19970703 09:49
MICHCON-GRP 1,139248,MI,Michigan,Zone 7,LDC,B,A,6/1/92,,,N,DTE Gas Company,6958540,,,,N,,20010502 21:15
MICHCON-GRP 2,139369,MI,Michigan,Zone 7,LDC,B,A,6/1/92,,,N,DTE Gas Company,6958540,,,,N,,20000605 21:30
MICHCON-GRP 3,139382,MI,Michigan,Zone 7,LDC,B,A,6/1/92,,,N,DTE Gas Company,6958540,,,,N,,20010502 21:15
MICHCON-GRP 5,139395,MI,Michigan,Zone 7,LDC,B,A,6/1/92,,,N,DTE Gas Company,6958540,,,,N,,19970703 09:49
MICHIGAN CITY,4375,IN,La Porte,Zone 7,LDC,B,A,1/1/83,,,N,NIPSCO,6937585,,,,N,,20181102 15:24
MID MICHIGAN CDP,261474,MI,Michigan,Zone 7,STR,B,A,7/1/99,,,N,Mid Michigan Gas Storage,47221739,,,,N,,19990802 21:37
MIDAMERICAN - GRP 1,139246,IA,Iowa,Zone 6,LDC,B,A,6/1/92,,,N,Midamerican Energy Co,884718768,,,,N,,19970507 13:33
MIDCONTINENT EXPRESS,803183,LA,Richland,Zone 2,INT,B,A,4/1/09,,,Y,Midcontinent Express,808150895,,ANR/MEP Perryville Richland,44444,Y,C000235,20181002 13:51
MIDDLETOWN,4613,IA,Des Moines,Zone 6,LDC,B,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:39
MIKESELL,1401911,OH,Darke,Zone 3,INT,D,A,4/8/16,,,N,Vectren Energy Delivery,4866344,,,,N,,20160408 08:42
MILAN MI,11803,MI,Washtenaw,Zone 7,LDC,B,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20131114 12:48
MILAN MO,40193,MO,Putnam,Zone 6,LDC,B,A,1/1/83,,,N,Milan City Of,52816493,,,,N,,20140131 13:35
MILLADORE,28879,WI,Wood,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20181211 10:03
MILWAUKEE,28842,WI,Waukesha,Zone 7,LDC,B,A,11/8/05,,,N,Wisconsin Gas LLC,7947047,,,,N,,20171016 09:09
MINOOKA INTERCONNECT,278172,IL,Kendall,Zone 7,END,B,A,10/27/00,,,N,Dynegy Mkting/Trade,137619136,,,,N,,20181022 10:50
MITCHELL CEMENT,523106,TX,Wheeler,Zone 4,END,B,A,1/1/23,,,N,Heidelberg Materials,1316355,,,,N,,20241022 14:00
MONCLOVA,110850,OH,Lucas,Zone 7,INT,B,A,11/1/93,,,Y,Columbia Gas Transmission,54748041,,Monclova-1,F4,Y,C000306,20081103 10:47
MONE PLANT INTERCONNECT,314730,OH,Van Wert,Zone 3,LDC,B,A,12/10/01,,,N,AEP Energy SVCS Inc,176806198,,,,N,,20090701 15:07
MONEE INTERCONNECT,282435,IL,Will,Zone 7,END,B,A,11/28/00,,,N,University Park Energy,5064048,,,,N,,20180927 10:19
MONGO,40192,IN,Lagrange,Zone 7,LDC,B,A,1/1/83,,,N,NIPSCO,6937585,,,,N,,20070314 17:28
MONICO,28776,WI,Oneida,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20150508 12:58
MONROE,40576,IN,Adams,Zone 3,LDC,B,A,1/6/99,,,N,NIPSCO,6937585,,,,N,,20170918 09:39
MOORELAND PLANT - INLET,43732,OK,Woodward,Zone 4,PLT,D,A,6/1/90,,,N,ANR Pipeline Company,6958581,,,,Y,C000623,19990702 21:23
MOORELAND PLANT - OUTLET,179887,OK,Woodward,Zone 4,PLT,R,I,9/8/95,,20190506,N,DCP Midstream,3048753,,,,N,,20120501 14:22
MORAVIA,4565,IA,Appanoose,Zone 6,LDC,B,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20140131 13:39
MORENCI,11680,MI,Lenawee,Zone 7,LDC,B,A,1/1/83,,,N,Michigan Gas Utilities,622377096,,,,N,,20090805 14:39
MORNING SUN,4747,IA,Louisa,Zone 6,LDC,B,A,1/1/83,,,N,Morning Sun City Of,960083731,,,,N,,20170607 12:39
MORRISTOWN,40455,IN,Shelby,Zone 3,LDC,B,A,1/1/83,,,N,Fountaintown Gas,75980516,,,,N,,20181218 09:06
MOSINEE,28741,WI,Marathon,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20181218 09:06
MOULTON,4564,IA,Appanoose,Zone 6,LDC,B,A,1/1/83,,,N,Moulton City of (IA),362389231,,,,N,,20140131 13:48
MOUND CITY,13000,MO,Holt,Zone 5,LDC,B,A,1/1/83,,,N,Empire District Gas,625371880,,,,N,,20140131 13:25
MOUNT AYR,40182,IA,Ringold,Zone 6,LDC,B,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20140131 13:41
MOUNT PLEASANT,4691,IA,Henry,Zone 6,LDC,B,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:39
MUNCIE (DELIVERY),40186,IN,Delaware,Zone 3,LDC,D,A,1/1/83,,,N,Indiana Gas Company,6938211,,,,N,,20181218 09:06
MUNCIE (RECEIPT),40187,IN,Delaware,Zone 3,LDC,R,A,1/1/83,,,N,Indiana Gas Company,6938211,,,,N,,20181218 09:06
MURRAY INTERCONNECT,283195,KY,Calloway,Zone 2,LDC,D,A,10/27/00,,,N,Murray Kentucky City Of,956401889,,,,N,,20181009 13:08 
NAPOLEON INTERCONNECT,280435,OH,Henry,Zone 7,END,B,A,5/29/00,,,N,AMP-Ohio INC,105687560,,,,N,,20160729 10:22
NAUTILUS DHS INT,233907,LA,St Mary,Zone 1,GTH,R,A,7/1/09,,,Y,Nautilus Pipeline Company,949954002,,ANR,992212,Y,C000512,20171206 14:02
NEENAH,40498,WI,Winnebago,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20181102 15:38
NESHKORO,40199,WI,Marquette,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20180928 15:52
NEW BERLIN,28841,WI,Waukesha,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Electric Power,7947385,,,,N,,20180410 11:08
NEW BOSTON,3969,IL,Mercer,Zone 6,LDC,B,A,1/1/83,,,N,New Boston City Of,5495551,,,,N,,20170607 12:39
NEW BUFFALO,11572,MI,Berrien,Zone 7,LDC,B,A,1/1/83,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20181102 15:24
NEW LONDON IA,4697,IA,Henry,Zone 6,LDC,B,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:39
NEW LONDON WI,28862,WI,Waupaca,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20160408 08:49
NEW WINDSOR,40412,IL,Henry,Zone 6,LDC,B,A,1/1/83,,,N,Ameren Illinois Company,6936017,,,,N,,20170607 12:39
NEWTON ROAD RNG,513129,WI,Manitowoc,Zone 7,PPT,R,A,9/14/18,,,N,"Calumet Renewable Energy, LLC",990000013,,,,N,,20180914 10:36
NEY,15673,OH,Defiance,Zone 7,LDC,B,A,1/1/83,,,N,Ohio Gas Company,3779345,,,,N,,20170421 11:42
NICOR GRP 1,395744,IL,Kane,Zone 7,LDC,D,A,10/1/04,,,N,NICOR Gas Co,6927792,,,,N,C000600,20171207 10:01
NIFL - GROUP 1,139234,IN,,Zone 7,LDC,B,A,6/1/92,,,N,NIPSCO,6937585,,,,N,,20010502 21:15
NILES,11580,MI,Berrien,Zone 7,LDC,B,A,1/1/83,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20170920 12:36
NILES PLANT,523098,MI,Cass,Zone 7,END,D,A,9/14/21,,,N,Indeck Niles,131203945,,,,N,,20210928 10:00
NIPSCO - GROUP 1,139235,IN,,Zone 3,LDC,B,A,6/1/92,,,N,NIPSCO,6937585,,,,N,,20030304 09:00
NIPSCO - GROUP 2,139366,IN,,Zone 7,LDC,B,A,6/1/92,,,N,NIPSCO,6937585,,,,N,,20010502 21:15
NIPSCO - GROUP 3,139385,IN,,Zone 7,LDC,B,A,6/1/92,,,N,NIPSCO,6937585,,,,N,,20020402 06:04
NORTH APPLETON,28779,WI,Outagamie,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Electric Power,7947385,,,,N,,20181211 10:03
NORTH AVENUE,513127,WI,Brown,Zone 7,INT,R,A,7/12/18,,,N,New Organic Digestion LLC,38056507,,,,N,,20180712 14:24
NORTH BELOIT,28817,WI,Rock,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20180529 15:22
NORTH BURLINGTON,4616,IA,Des Moines,Zone 6,LDC,D,A,1/1/83,,,N,United States Gypsum,5212600,,,,N,,20170607 12:39
NORTH CLARE,40830,MI,Clare,Zone 7,LDC,B,A,1/1/83,,,N,DTE Gas Company,6958540,,,,N,,20180720 12:42
NORTH DEFIANCE,139398,OH,Defiance,Zone 7,LDC,B,A,11/1/89,,,N,Ohio Gas Company,3779345,,,,N,,20160414 14:07
NORTH HOLLAND,11748,MI,Ottawa,Zone 7,LDC,B,A,1/1/83,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20171221 12:45
NORTH MADISON,36868,WI,Dane,Zone 7,LDC,B,A,1/1/83,,,N,Madison Gas & Electric,7946346,,,,N,,20190115 11:45
NORTH MANITOWOC,28739,WI,Manitowoc,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20180814 14:12
NORTH MERRILL INT,224545,WI,Lincoln,Zone 7,LDC,D,A,8/15/97,,,N,Wisconsin Public Service Co,7947435,,,,N,,20181211 10:03
NORTH OAKVILLE,523087,IN,Delaware,Zone 3,LDC,D,A,4/25/18,,,N,Vectren Energy Delivery,4866344,,,,N,,20181425 12:23
NORTH SHEBOYGAN,28832,WI,Sheboygan,Zone 7,LDC,B,A,6/1/05,,,N,Wisconsin Public Service Co,7947435,,,,N,,20180814 14:12
NORTH WAUSAU,28750,WI,Marathon,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20181211 10:03
NORTH ZEELAND,467243,MI,Ottawa,Zone 7,LDC,D,A,1/8/06,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20171221 12:45
NORWICH 28,120743,MI,Newaygo,Zone 7,WHD,R,A,7/5/00,,,N,Ward Haggard Oil & Gas Exp,540617012,,,,N,,20181210 11:37
OAKVILLE,4751,IA,Louisa,Zone 6,LDC,B,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:39
OCONTO,28772,WI,Oconto,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Public Service Co,7947435,,,,N,,20180601 10:15
OCONTO FALLS,28771,WI,Oconto,Zone 7,LDC,B,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20180601 10:15
OHIO GAS-GRP 1,139251,OH,,Zone 7,LDC,B,A,6/1/92,,,N,Ohio Gas Company,3779345,,,,N,,19970804 04:54
OHIO VAL-GRP 1,139236,IN,,Zone 3,LDC,B,A,6/1/92,,,N,Ohio Valley Gas Corp,6940274,,,,N,,20180502 21:15
OHIO VAL-GRP 2,139374,OH,,Zone 3,LDC,B,A,11/1/92,,,N,Ohio Valley Gas Corp,6940274,,,,N,,20030225 14:01
OKOLONA,139400,OH,Henry,Zone 7,LDC,B,A,7/1/90,,,N,Ohio Gas Company,3779345,,,,N,,20180414 14:07
OLIVE BRANCH CITY OF,781395,MS,De Soto,Zone 2,LDC,D,A,1/1/09,,,N,city of Olive Branch,13430228,,,,N,,20180510 13:18
