Transportation Service Provider Name:,,,,ANR Pipeline Company,,,,,,,,,,,,,,,
Transportation Service Provider:,,,,6958581,,,,,,,,,,,,,,,
Transporation Service Provider FERC CID:,,,,C000623,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location Name,Loc,Loc St Abbrev,Loc Cnty,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn Loc Name,Up/Dn Loc,Up/Dn FERC CID IND,Up/Dn FERC CID,Update Date/Time
BEDISON INTERCONNECT,261475,MO,Nodaway,Zone 6,END,D,A,6/21/99,,,N,Associated Electric Coop,54077672,,,,N,,20140131 13:52
BELOIT,36934,WI,Rock,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20190529 15:22
BENTON HARBOR,11578,MI,Berrien,Zone 7,LDC,D,A,1/1/83,,,N,Michigan Gas Utilities,622377096,,,,N,,20190212 10:17
BERLIN,40497,WI,Winnebago,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20190328 13:16
BERLIN IC (TRANSOK),174775,OK,Roger Mills,Zone 4,INT,R,A,7/17/95,,,Y,Enable Oklahoma,7205412,,ANR Berlin,32675,Y,C000960,20190327 08:45
BERNE-GENEVA,4223,IN,Adams,Zone 3,LDC,D,A,1/1/83,,,N,NIPSCO,6937585,,,,N,,20181218 09:06
BERRIEN SPRINGS,11576,MI,Berrien,Zone 7,LDC,D,A,1/1/83,,,N,Michigan Gas Utilities,622377096,,,,N,,20190212 10:12
BETHANY,12991,MO,Harrison,Zone 6,LDC,D,A,1/1/83,,,N,Bethany City of,92855311,,,,N,,20140131 13:31
BIRMINGHAM,4839,IA,Van Buren,Zone 6,LDC,D,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:46
BLOOMFIELD,4604,IA,Davis,Zone 6,LDC,D,A,1/1/83,,,N,Bloomfield City of ,118690130,,,,N,,20170607 12:46
BLUE LAKE - INJECTION,542526,MI,Otsego,Zone 7,STR,D,A,3/14/07,,,Y,Blue Lake Gas Storage,830186383,,Blue Lake Inj,139553,Y,C000625,20070314 18:51
BLUE LAKE - WITHDRAWAL,542527,MI,Otsego,Zone 7,STR,R,A,3/14/07,,,Y,Blue Lake Gas Storage,830186383,,Blue Lake Wd,139554,Y,C000625,20070314 18:51
BOBCAT STORAGE (DEL),742883,LA,St Landry,Zone 1,STR,D,A,11/3/08,,,Y,Porte Barre Investments,614834559,,ANR - INJ,1185956,Y,C001706,20141209 109:30
BOBCAT STORAGE (REC),742882,LA,St Landry,Zone 1,STR,R,A,11/5/08,,,Y,Porte Barre Investments,614834559,,ANR - WTD,1185957,Y,C001706,20170109 10:02
BOLIVAR,1292823,MS,Bolivar,Zone 2,LDC,D,A,3/6/14,,,N,Atmos Energy Corp,108203241,,,,Y,C003008,20180725 16:31
BONDUEL,28823,WI,Shawano,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20150807 12:01
BRANDON ROAD DELIVERY,1402545,IL,Will,Zone 7,END,D,A,12/21/17,,,N,Elwood Energy LLC,72640738,,,,N,,20190226 11:02
BROOKS DRIVE,523096,WI,Dane,Zone 7,LDC,D,A,12/1/21,,,Y,Wisconsin Gas LLC,7947047,,,,N,,20220127 13:35
BROWNSVILLE INTERCONNECT,261572,TN,Haywood,Zone 2,END,D,A,11/1/03,,,N,Tenn Valley Auth,967537572,,,,N,,20190529 13:46
BUCHANAN,11581,MI,Berrien,Zone 7,LDC,D,A,1/1/83,,,N,Semco Energy Inc DBA SEG,6960553,,,,N,,20180812 05:07
BUCKEYE GREENVILLE PLANT,505582,OH,Darke,Zone 3,LDC,D,A,5/12/17,,,N,ANR Pipeline Company,6958581,,,,N,,20170513 08:57
BURKES RUN,1394871,IA,Lee,Zone 6,STA,D,A,12/1/15,,,N,Iowa Fertilizer,55627973,,,,N,,20190507 05:01
BURLINGTON,4619,IA,Des Moines,Zone 6,LDC,D,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20170607 12:46
CADIZ INT,277052,IN,Henry,Zone 3,LDC,D,A,3/2/00,,,N,Duke Energy Indiana,6939540,,,,N,,20181218 09:16
CAMBRIDGE,3797,IL,Henry,Zone 6,LDC,D,A,1/1/83,,,N,Ameren Illinois Company,6936017,,,,N,,20170607 12:46
CAMERON,43456,LA,Cameron,Zone 1,PPT,R,A,8/16/56,,,N,Wagner Oil Co,2825917,,,,N,,20031106 09:24
CAMPBELLSPORT,28701,WI,Fon Du Lac,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Power & Lght,7946452,,,,N,,20180727 14:31
CAPITOL DRIVE,28846,WI,Waukesha,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,2180308 10:46
CARDINAL ETHANOL-LYNNWIN,1389346,IN,Randolph,Zone 3,END,D,A,2/1/14,,,N,Ohio Valley Gas Corp,6940274,,,,N,,20140226 10:05
CARRERA INDIAN CREEK,467675,TX,Roberts,Zone 4,WHD,R,A,1/13/06,,,N,Crestwood Panhandle,807041954,,,,N,,20060112 13:53
CARTHAGE,40189,IN,Hancock,Zone 3,LDC,D,A,1/1/83,,,N,Fountaintown Gas,75980516,,,,N,,20191218  09:16
CATON FARM ROAD,697645,IL,Kendall,Zone 7,LDC,D,A,11/5/07,,,Y,Nicor Gas Co,6927792,,Yorkville,Station 231,Y,C000600,20171207 10:01
CECIL,28822,WI,Shawano,Zone 7,LDC,D,A,1/1/83,,,N,Wisconsin Gas LLC,7947047,,,,N,,20150508 12:47
CEDAR CREEK DELIVERY,1402711,IL,Will,Zone 7,END,D,A,10/3/16,,,N,NRG Power Marketing,28255979,,,,N,,20180427 16:01
CELESTINE,4280,IN,Dubois,Zone 3,LDC,D,A,1/1/83,,,N,Indiana Natural Gas Co,44911673,,,,N,,20190319 10:17
CENTERPOINT/CUSTER DEL,153896,OK,Custer,Zone 4,INT,D,A,11/1/87,,,Y,Enable Gas Transmission,872670161,,ANR @ Custer Rct,2024,Y,C000544,20190904 13:31
CENTERPOINT/CUSTER REC,512133,OK,Custer,Zone 4,INT,R,A,1/1/25,,,Y,Enable Gas Transmission,872670161,,ANR @ Custer Del,2025,Y,C000544,20240127 14:45
CENTERPOINT/DELHI,9757,LA,Richland,Zone 2,INT,R,A,11/1/87,,,Y,Enable Gas Transmission,872670161,,ANR Delhi Core Del,801501,Y,C000544,20070605 12:53
CENTERPOINT/PERRYVILLE,154017,LA,Ouachita,Zone 2,INT,R,A,11/1/90,,,Y,Enable Gas Transmission,872670161,,ANR PV Core Del,802401,Y,C000544,20020913 08:18
CENTERVILLE IA,4561,IA,Appanoose,Zone 6,LDC,D,A,1/1/83,,,N,Interstate Power & Light,6940522,,,,N,,20140131 13:37
CENTERVILLE LA,10410,LA,St Mary,Zone 1,INT,D,I,1/1/83,,,Y,Gulf South P/L Co,78444247,,Centerville (From ANR),425,Y,C000591,20170109 10:02
CHALKLEY/TENN,7703,LA,Cameron,Zone 1,INT,D,A,12/1/98,,,Y,Tennessee Gas P/L Co,1939164,,ANR/TGP Chalkley Transport,412002,Y,C000020,20181217 09:46
